,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2007,1168605567977,60539316107,1108066251870,917976749624,190089502246,14342922806,17803402529,17646748549,0,72466138770,25900197893,88262685860,5715528039,3961394257,1754133782,90016819642,17663972621,0,17663972621,72352847021,-254698802,72607545823
2008,2074799044404,73613250767,2001185793637,1682440599935,318745193702,26742838277,32971579974,22137295727,-1035838308,126162963175,74945904291,110371746231,4201813784,3335338873,866474911,111238221142,24300355944,0,24300355944,86937865198,-649415702,87587280900
2009,3486156963296,77551911553,3408605051743,2989247121281,419357930462,16782868760,76263486246,52356336088,-2744266822,112845273056,94926066099,149361706999,3147034387,3513791980,-366757593,148994949406,26141951891,0,26141951891,122852997515,-453972924,123306970439
2010,3631613514135,133423641914,3498189872221,3089103473850,409086398371,26489185596,133773823313,105839969937,-10434082998,112747069805,96295852723,82324755128,16832307734,5979565285,10852742449,93177497577,23294374395,0,23294374395,69883123182,-347166458,70230289640
2011,3233163141317,243273538112,2989889603205,2669656203457,320233399748,84662463719,208517312453,84569762011,-13074396968,130941055147,75309111254,-22946012355,-1421298445,1426266484,-2847564929,-25793577284,-4973694554,0,-4973694554,-20819882730,-3400808369,-17419074361
2012,2853701479282,136564282789,2717137196493,2443056281528,274080914965,14337180731,89916596909,80859575354,3791428622,164700133006,92651967885,-55059173482,7840374524,8654442161,-814067637,-55873241119,0,312273980,312273980,-56185515099,-4173052533,-52012462566
2013,2666786987119,49030416627,2617756570492,2228852423054,388904147438,4984185285,74594396456,69006191985,2529127855,168721606219,111655508020,41445949883,16533256310,19645017229,-3111760919,38334188964,8312929350,-1742235050,6570694300,31763494664,6135424081,25628070583
2014,2362310370790,39458151762,2322852219028,1966653458103,356198760925,5479181408,35385781145,30390084372,6745490486,158723188377,89224961524,85089501773,13510531464,3348542556,10161988908,95251490681,7829647413,1194783428,9024430841,86227059840,6129367452,80097692388
2015,3659919342234,6616221938,3653303120296,3144896852167,508406268129,9620294955,34189596851,27060299932,11945448000,208154887770,143103736331,144523790132,16415366920,9447631980,6967734940,151491525072,13795239126,-75245916,13719993210,137771531862,24288171792,113483360070
2016,4292753999036,-1705455116,4294459454152,3720964515496,573494938656,23026583931,28371224300,28141629555,9771629283,221568545468,184397767165,171955614937,12426112160,1728724173,10697387987,182653002924,36156878384,421852279,36578730663,146074272261,31688019564,114386252697
2017,4889189943448,10601143668,4878588799780,4137191495487,741397304293,18448870111,29519062138,25828312288,17168440025,284037663119,234145212004,229312677168,19009664858,1611811391,17397853467,246710530635,33260487091,-104770683,33155716408,213554814227,43009719072,170545095155
2018,5009670304917,40820507749,4968849797168,4177879641211,790970155957,21070278367,42686922484,43475642912,19417257198,306194237750,284028567559,198547963729,23359367976,4581811468,18777556508,217325520237,47253167620,-413045153,46840122467,170485397770,50315972940,120169424830
2019,5122595001739,17258095804,5105336905935,4165582851663,939754054272,44731587435,65630985749,62629537708,25079333676,365348453121,324061547851,254523988662,17548965788,8541824589,9007141199,263531129861,52707616557,-19561116,52688055441,210843074420,86241998280,124601076140
2020,4923857290906,-41863680,4923899154586,3998539994767,925359159819,92299702936,79587615107,76998981958,21074531816,381271863049,300238969461,277634946954,6178823400,502494782,5676328618,283311275572,46700448061,49653240,46750101301,236561174271,44375822892,192185351379
2021,5954158638031,69735291169,5884423346862,4775984450405,1108438896457,86408134377,72822734937,70895606686,24819986731,388401232660,380000532163,378442517805,12047862821,11464809812,583053009,379025570814,57257798905,48575598,57306374503,321719196311,76519553766,245199642545
2022,7631527079929,3668405862,7627858674067,6213031691828,1414826982239,85505128605,103275547855,89259105322,31875056445,514286883122,486838106321,427806629991,5420809602,7036367740,-1615558138,426191071853,44917320979,-542636108,44374684871,381816386982,56222755002,325593631980
2023,7511889409464,7126116631,7504763292833,6127289389072,1377473903761,126620780334,121728769674,105555500340,41316012110,523279765820,477985621149,422416539562,9770271725,4543453462,5226818263,427643357825,46498319544,1537051486,48035371030,379607986795,55174263464,324433723331
